ID	gdp_2008	gdp_pps_2008	pop_t_2008	gdppercapita
AT111	700000	641000	37,452	18690,5906226637
AT112	3573000	3272000	146,383	24408,5720336378
AT113	1947000	1783000	97,35	20000
AT121	6341000	5807000	241,083	26302,144904452
AT122	6306000	5774000	251,838	25039,9066066281
AT123	4919000	4504000	147,468	33356,389182738
AT124	5180000	4743000	221,222	23415,3926824638
AT125	2084000	1908000	123,848	16827,0783541115
AT126	7132000	6530000	298,285	23910,0189416162
AT127	12811000	11731000	312,794	40956,6679667769
AT130	75049000	68722000	1674,909	44807,8074689431
AT211	9139000	8369000	274,722	33266,3565349699
AT212	3068000	2810000	129,886	23620,7135488043
AT213	3772000	3454000	155,714	24223,8976585278
AT221	15365000	14070000	390,764	39320,4082259369
AT222	2217000	2030000	80,673	27481,3134505969
AT223	4968000	4550000	169,119	29375,7649938801
AT224	6081000	5568000	268,186	22674,5616848009
AT225	4240000	3882000	190,684	22235,7408067798
AT226	2574000	2357000	105,521	24393,2487372182
AT311	7077000	6481000	274,955	25738,7572511866
AT312	24423000	22364000	545,051	44808,6509335824
AT313	3907000	3578000	204,174	19135,6392096937
AT314	4942000	4525000	153,101	32279,345007544
AT315	6937000	6352000	229,383	30241,9970093686
AT321	505000	463000	21,051	23989,3591753361
AT322	5312000	4864000	162,999	32589,1569886932
AT323	14667000	13431000	343,402	42710,875300668
AT331	1245000	1140000	31,874	39060,0489427119
AT332	10414000	9536000	280,137	37174,6681088182
AT333	1220000	1117000	50,353	24228,9436577761
AT334	3380000	3095000	100,464	33643,8923395445
AT335	8461000	7748000	237,879	35568,5033147104
AT341	3436000	3146000	88,478	38834,5125341893
AT342	9693000	8876000	277,39	34943,5812394102
BE100	64190000	57332000	1048,491	61221,3171119256
BE211	40364000	36051000	969,563	41631,1266003344
BE212	11169000	9976000	319,107	35000,7991050024
BE213	13540000	12094000	427,037	31706,8544411843
BE221	13192000	11783000	401,919	32822,5338936452
BE222	5433000	4852000	229,441	23679,2901007231
BE223	3792000	3387000	195,33	19413,3005682691
BE231	5722000	5110000	269,489	21232,7775901799
BE232	4192000	3744000	190,338	22023,9783963265
BE233	1845000	1648000	80,864	22816,0862683023
BE234	19042000	17008000	516,609	36859,5978776986
BE235	3284000	2933000	118,101	27806,7078178847
BE236	6786000	6061000	233,083	29114,0924048515
BE241	22892000	20446000	584,416	39170,7277008159
BE242	13046000	11652000	475,816	27418,1616423155
BE251	8864000	7917000	275,599	32162,6711272537
BE252	1046000	934000	49,012	21341,7122337387
BE253	2699000	2410000	105,144	25669,5579395876
BE254	9147000	8169000	278,672	32823,534477809
BE255	3729000	3331000	149,287	24978,7322405836
BE256	4786000	4275000	143,616	33324,9777183601
BE257	2960000	2643000	89,584	33041,6145740311
BE258	1763000	1575000	59,573	29593,9435650379
BE310	12184000	10882000	373,492	32621,8499994645
BE321	1460000	1304000	82,725	17648,8365064974
BE322	10460000	9342000	423,204	24716,2125121691
BE323	5073000	4531000	250,431	20257,0767995975
BE324	1845000	1648000	71,411	25836,3557435129
BE325	3422000	3056000	181,217	18883,4380880381
BE326	2021000	1805000	148,178	13639,0017411492
BE327	3498000	3124000	142,931	24473,3472794565
BE331	2330000	2081000	105,77	22028,9306986858
BE332	15810000	14121000	597,478	26461,2253505568
BE334	1090000	973000	73,905	14748,663825181
BE335	4354000	3889000	202,4	21511,8577075099
BE336	1788000	1597000	74,169	24107,1067427092
BE341	1325000	1184000	56,392	23496,2406015038
BE342	867000	774000	44,012	19699,172952831
BE343	1318000	1177000	53,593	24592,7639803706
BE344	1378000	1231000	58,726	23464,9048121786
BE345	805000	719000	51,361	15673,3708455832
BE351	1830000	1635000	104,719	17475,3387637392
BE352	7670000	6850000	296,494	25868,988917145
BE353	995000	889000	64,167	15506,4129536989
BG311	289000	677000	112,604	2566,5162871657
BG312	442000	1033000	161,161	2742,599015891
BG313	756000	1770000	202,711	3729,4473412888
BG314	806000	1886000	297,928	2705,3516285814
BG315	490000	1147000	155,468	3151,7739985077
BG321	808000	1891000	278,764	2898,5091331736
BG322	497000	1164000	133,218	3730,7270789233
BG323	952000	2228000	253,008	3762,7268702966
BG324	376000	881000	136,062	2763,4460760536
BG325	332000	776000	130,898	2536,3259942856
BG331	2413000	5647000	459,613	5250,0690798563
BG332	600000	1405000	203,138	2953,6571197905
BG333	595000	1392000	196,559	3027,0809273552
BG334	365000	855000	132,771	2749,0943052323
BG341	1851000	4332000	420,095	4406,1462288292
BG342	504000	1180000	207,786	2425,5724639774
BG343	359000	840000	142,475	2519,7403053167
BG344	1603000	3751000	355,626	4507,5444427573
BG411	13296000	31117000	1240,788	10715,7709455604
BG412	920000	2153000	256,511	3586,5908284635
BG413	1046000	2449000	329,309	3176,3480500078
BG414	716000	1676000	138,773	5159,505091048
BG415	416000	972000	149,187	2788,4467145261
BG421	2456000	5747000	705,121	3483,0901363029
BG422	751000	1757000	261,726	2869,4130502892
BG423	906000	2121000	294,086	3080,731486708
BG424	455000	1065000	128,2	3549,1419656786
BG425	431000	1008000	156,652	2751,3214003013
CH011	30077000	24028000	672,039	44754,8430969036
CH012	10001000	7990000	298,58	33495,2106638087
CH013	22498000	17973000	438,177	51344,5479794695
CH021	38155000	30481000	962,982	39621,7167091389
CH022	8957000	7155000	263,241	34025,8546351062
CH023	9941000	7942000	250,24	39725,8631713555
CH024	7016000	5605000	169,782	41323,5796491972
CH025	2370000	1893000	69,555	34073,7545827043
CH031	16209000	12949000	185,227	87508,8405038142
CH032	12301000	9827000	269,145	45703,9885563544
CH033	24502000	19574000	581,562	42131,3634659761
CH040	73828000	58979000	1307,567	56462,1162816131
CH051	2171000	1734000	38,237	56777,4668514789
CH052	3526000	2817000	74,527	47311,7125337126
CH053	2063000	1648000	52,654	39180,3091882858
